timestamp,class,name
16:47:15:20, __InstanceCreationEvent, chrome.exe, 17420
16:47:22:264, __InstanceDeletionEvent, taskhostw.exe, 11628
16:47:23:311, __InstanceCreationEvent, conhost.exe, 22128
16:47:23:327, __InstanceCreationEvent, VSSVC.exe, 5904
16:47:23:327, __InstanceCreationEvent, SrTasks.exe, 9088
16:47:24:343, __InstanceCreationEvent, svchost.exe, 18556
16:47:24:359, __InstanceCreationEvent, UsoClient.exe, 3700
16:47:24:359, __InstanceCreationEvent, svchost.exe, 4192
16:47:24:359, __InstanceCreationEvent, taskhostw.exe, 4712
16:47:24:376, __InstanceDeletionEvent, conhost.exe, 22128
16:47:24:380, __InstanceDeletionEvent, SrTasks.exe, 9088
16:47:25:390, __InstanceDeletionEvent, UsoClient.exe, 3700
16:47:26:430, __InstanceCreationEvent, sppsvc.exe, 15496
16:47:31:658, __InstanceCreationEvent, WmiPrvSE.exe, 7368
16:47:31:674, __InstanceDeletionEvent, audiodg.exe, 13328
16:47:31:680, __InstanceCreationEvent, svchost.exe, 7848
16:47:42:72, __InstanceCreationEvent, SrTasks.exe, 13972
16:47:42:72, __InstanceCreationEvent, conhost.exe, 15024
16:47:42:72, __InstanceCreationEvent, svchost.exe, 21608
16:47:43:110, __InstanceCreationEvent, wermgr.exe, 14964
16:47:43:126, __InstanceCreationEvent, svchost.exe, 17128
16:47:45:195, __InstanceCreationEvent, BackgroundDownload.exe, 19060
16:47:47:297, __InstanceDeletionEvent, wermgr.exe, 14964
16:47:50:415, __InstanceDeletionEvent, chrome.exe, 17420
16:47:56:723, __InstanceDeletionEvent, SrTasks.exe, 13972
16:47:56:729, __InstanceDeletionEvent, conhost.exe, 15024
16:47:56:729, __InstanceDeletionEvent, sppsvc.exe, 15496
16:48:15:318, __InstanceCreationEvent, chrome.exe, 16952
16:48:17:450, __InstanceDeletionEvent, chrome.exe, 11112
16:48:24:700, __InstanceDeletionEvent, svchost.exe, 18556
16:48:27:827, __InstanceDeletionEvent, svchost.exe, 21608
16:48:27:827, __InstanceDeletionEvent, taskhostw.exe, 4712
16:48:50:557, __InstanceDeletionEvent, chrome.exe, 16952
16:49:9:137, __InstanceDeletionEvent, TiWorker.exe, 2316
16:49:9:137, __InstanceDeletionEvent, TrustedInstaller.exe, 4140
16:49:11:169, __InstanceCreationEvent, backgroundTaskHost.exe, 10664
16:49:12:216, __InstanceCreationEvent, RuntimeBroker.exe, 4632
16:49:12:216, __InstanceCreationEvent, RuntimeBroker.exe, 8248
16:49:15:314, __InstanceCreationEvent, chrome.exe, 20316
16:49:17:399, __InstanceDeletionEvent, backgroundTaskHost.exe, 10664
16:49:43:257, __InstanceDeletionEvent, svchost.exe, 17128
16:49:50:486, __InstanceDeletionEvent, chrome.exe, 20316
16:49:56:677, __InstanceDeletionEvent, RuntimeBroker.exe, 4632
16:49:56:693, __InstanceDeletionEvent, RuntimeBroker.exe, 8248
16:49:57:708, __InstanceCreationEvent, CompatTelRunner.exe, 20712
16:49:59:771, __InstanceCreationEvent, CompatTelRunner.exe, 17832
16:49:59:771, __InstanceDeletionEvent, CompatTelRunner.exe, 20712
16:50:2:882, __InstanceDeletionEvent, CompatTelRunner.exe, 17832
16:50:15:370, __InstanceCreationEvent, chrome.exe, 13500
16:50:50:570, __InstanceDeletionEvent, chrome.exe, 13500
16:50:52:635, __InstanceDeletionEvent, VSSVC.exe, 5904
16:50:57:799, __InstanceCreationEvent, CompatTelRunner.exe, 10632
16:50:58:830, __InstanceDeletionEvent, CompatTelRunner.exe, 10632
16:50:58:830, __InstanceCreationEvent, CompatTelRunner.exe, 14992
16:51:0:909, __InstanceCreationEvent, sppsvc.exe, 15160
16:51:1:942, __InstanceCreationEvent, OpenConsole.exe, 10028
16:51:1:942, __InstanceCreationEvent, conhost.exe, 12784
16:51:1:942, __InstanceCreationEvent, cmd.exe, 21832
16:51:1:942, __InstanceCreationEvent, WindowsTerminal.exe, 9596
16:51:2:985, __InstanceCreationEvent, chrome.exe, 21548
16:51:3:1, __InstanceCreationEvent, chrome.exe, 884
16:51:3:1, __InstanceDeletionEvent, OpenConsole.exe, 10028
16:51:3:1, __InstanceDeletionEvent, conhost.exe, 12784
16:51:3:1, __InstanceDeletionEvent, cmd.exe, 21832
16:51:3:1, __InstanceDeletionEvent, WindowsTerminal.exe, 9596
16:51:4:22, __InstanceCreationEvent, conhost.exe, 16088
16:51:4:37, __InstanceCreationEvent, powershell.exe, 2384
16:51:12:327, __InstanceDeletionEvent, conhost.exe, 16088
16:51:12:327, __InstanceDeletionEvent, powershell.exe, 2384
16:51:14:376, __InstanceCreationEvent, RuntimeBroker.exe, 13680
16:51:15:410, __InstanceCreationEvent, chrome.exe, 12352
